STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
MAHARASHTRA,MADHA,Sanjaymama Vitthalrao Shinde,0,NCP,CLOCK,MALE,1,50,GENERAL,Graduate,493306415,112417440,498441,2109,500550,26.21265266,41.10203207,1909574,Literate
MAHARASHTRA,MADHA,Adv. Vijayrao More,0,VBA,KEY,MALE,1,78,GENERAL,Graduate,19159126,1606630,51349,183,51532,2.698612361,4.231485199,1909574,Literate
MAHARASHTRA,MADHA,Daulat Umaji Shitole,0,IND,TENT,MALE,0,43,GENERAL,Literate,62512874,112981121,12859,10,12869,0.673919942,1.056721708,1909574,Literate
BIHAR,MADHEPURA,Dinesh Chandra Yadav,1,JD(U),ARROW,MALE,1,67,GENERAL,Graduate,37420953,700000,623460,874,624334,33.12322303,54.40098566,1884883,Literate
BIHAR,MADHEPURA,Sharad Yadav,0,RJD,HURRICANE LAMP,MALE,3,71,GENERAL,Graduate,81533690,0,322410,397,322807,17.12610279,28.12760314,1884883,Literate
BIHAR,MADHEPURA,Rajesh Ranjan @ Pappu Yadav,0,JAPL,HOCKEY & BALL,MALE,31,51,GENERAL,Graduate,119543561,17695194,97466,165,97631,5.179684893,8.507021292,1884883,Literate
BIHAR,MADHEPURA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,38429,21,38450,2.039914414,3.350318738,1884883,Not Available
BIHAR,MADHEPURA,Suman Kumar Jha,0,IND,COCONUT FARM,MALE,0,57,GENERAL,Post Graduate,11276322,0,17573,11,17584,0.9328961,1.532171773,1884883,Literate
BIHAR,MADHUBANI,ASHOK KUMAR YADAV,1,BJP,LOTUS,MALE,1,49,GENERAL,Doctorate,46699125,7892847,594811,1032,595843,33.23536729,61.76420588,1792798,Literate
BIHAR,MADHUBANI,BADRI KUMAR PURBEY,0,VSIP,BOAT WITH MAN AND SAIL,MALE,-1,46,GENERAL,Not Available,-1,-1,140705,198,140903,7.85939074,14.605797,1792798,Not Available
BIHAR,MADHUBANI,DR. SHAKEEL AHMAD,0,IND,HELICOPTER,MALE,1,63,GENERAL,Graduate,26802196,0,131416,114,131530,7.336576681,13.63420565,1792798,Literate
BIHAR,MADHUBANI,HEMA JHA,0,IND,BAT,FEMALE,0,57,GENERAL,10th Pass,10874083,0,14254,0,14254,0.795070053,1.4775486,1792798,Literate
BIHAR,MADHUBANI,ABUBAKAR RAHMANI,0,IND,ALMIRAH,MALE,0,30,GENERAL,Post Graduate,757606,0,12491,1,12492,0.696787926,1.294902281,1792798,Literate
BIHAR,MADHUBANI,ANAND KUMAR JHA,0,AKBMP,DIAMOND,MALE,0,39,GENERAL,Post Graduate,189200,0,10109,18,10127,0.564871224,1.049749872,1792798,Literate
TAMIL NADU,MADURAI,VENKATESAN S,1,CPI(M),"HAMMER, SICKLE AND STAR",MALE,0,49,GENERAL,12th Pass,1811456,0,444152,2923,447075,29.04921684,43.95490413,1539026,Literate
TAMIL NADU,MADURAI,RAJ SATYEN V.V.R,0,AIADMK,TWO LEAVES,MALE,0,36,GENERAL,Post Graduate,32239213,8700000,307033,647,307680,19.99186498,30.2500585,1539026,Literate
TAMIL NADU,MADURAI,DAVID ANNADURAI K,0,IND,GIFT PACK,MALE,3,42,GENERAL,Graduate,28787054,330000,85318,429,85747,5.571510813,8.430355454,1539026,Literate
TAMIL NADU,MADURAI,ALAGAR M,0,MNM,BATTERY TORCH,MALE,0,52,GENERAL,Graduate,6297227,4676374,84842,206,85048,5.526092477,8.361632135,1539026,Literate
TAMIL NADU,MADURAI,PANDIAMMAL J,0,NTK,GANNA KISAN,FEMALE,0,38,GENERAL,Post Graduate,175000,0,42721,180,42901,2.787542251,4.217881434,1539026,Literate
TAMIL NADU,MADURAI,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,16111,76,16187,1.051769106,1.591451173,1539026,Not Available
TELANGANA,MAHABUBABAD,Kavitha Malothu,1,TRS,CAR,FEMALE,1,39,ST,Graduate,19731269,1252068,461824,285,462109,32.44270334,46.97628461,1424385,Literate
TELANGANA,MAHABUBABAD,Balaram Naik Porika,0,INC,HAND,MALE,1,55,ST,10th Pass,43570110,33600000,315262,184,315446,22.1461192,32.06706875,1424385,Literate
TELANGANA,MAHABUBABAD,Arun Kumar Mypathi,0,TJS,BOX,MALE,1,33,ST,Post Graduate,0,0,56969,104,57073,4.00685208,5.801829203,1424385,Literate
TELANGANA,MAHABUBABAD,Kalluri. Venkateswara Rao.,0,CPI(M),EARS OF CORN AND SICKLE,MALE,0,45,ST,10th Pass,676200,0,45694,25,45719,3.209736132,4.647623733,1424385,Literate
TELANGANA,MAHABUBABAD,Jatothu Hussain,0,BJP,LOTUS,MALE,0,37,ST,Graduate,29043582,9000000,25333,154,25487,1.789333642,2.590913758,1424385,Literate
TELANGANA,MAHABUBABAD,Balu Nayak Bhukya,0,IND,CAMERA,MALE,0,38,ST,Post Graduate,2750000,1025000,14865,1,14866,1.0436785,1.511222346,1424385,Literate
TELANGANA,MAHABUBABAD,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,14073,9,14082,0.988637201,1.431523818,1424385,Not Available
TELANGANA,MAHABUBABAD,Uke Kousalya,0,IND,SCISSORS,FEMALE,0,49,ST,5th Pass,596000,0,11054,4,11058,0.77633505,1.124115209,1424385,Literate
UTTAR PRADESH,MAHARAJGANJ,PANKAJ CHOUDHARY,1,BJP,LOTUS,MALE,5,54,GENERAL,12th Pass,371827109,4483048,725557,792,726349,37.92137237,59.18634251,1915408,Literate
BIHAR,MAHARAJGANJ,"Janardan Singh 'Sigriwal""",1,BJP,LOTUS,MALE,5,55,GENERAL,Graduate,10451986,376000,543523,2829,546352,30.22246217,56.1519195,1807768,Literate
BIHAR,MAHARAJGANJ,Randhir Kumar Singh,0,RJD,HURRICANE LAMP,MALE,3,36,GENERAL,12th Pass,39112311,6266511,314803,777,315580,17.45688606,32.43407685,1807768,Literate
UTTAR PRADESH,MAHARAJGANJ,AKHILESH,0,SP,BICYCLE,MALE,4,55,GENERAL,Graduate,82263380,0,385592,333,385925,20.14844879,31.4469893,1915408,Literate
UTTAR PRADESH,MAHARAJGANJ,SUPRIYA SHRINATE,0,INC,HAND,FEMALE,0,41,GENERAL,Post Graduate,85042997,7395000,72449,67,72516,3.785929682,5.908945718,1915408,Literate
BIHAR,MAHARAJGANJ,Anirudh Prasad alias Sadhu Yadav,0,BSP,ELEPHANT,MALE,5,51,GENERAL,Graduate,79825395,22404267,24913,126,25039,1.385078174,2.573410388,1807768,Literate
BIHAR,MAHARAJGANJ,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,22149,19,22168,1.226263547,2.278340248,1807768,Not Available
BIHAR,MAHARAJGANJ,M.K. Singh Rathour,0,IND,CAULIFLOWER,MALE,0,47,GENERAL,Graduate,35623127,1547000,20495,2,20497,1.13382912,2.106601411,1807768,Literate
BIHAR,MAHARAJGANJ,Dr. Shree Bhagwan Singh,0,IND,WHISTLE,MALE,1,67,GENERAL,Graduate,13459000,950000,13135,2,13137,0.726697231,1.350169426,1807768,Literate
CHHATTISGARH,MAHASAMUND,CHUNNI LAL SAHU,1,BJP,LOTUS,MALE,0,51,GENERAL,Graduate,17591683,1383014,614924,1656,616580,37.64337273,50.42497876,1637951,Literate
CHHATTISGARH,MAHASAMUND,DHANENDRA SAHU,0,INC,HAND,MALE,0,66,GENERAL,12th Pass,92123717,106791,525229,840,526069,32.11750535,43.02283264,1637951,Literate
CHHATTISGARH,MAHASAMUND,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,21218,23,21241,1.29680314,1.737125716,1637951,Not Available
CHHATTISGARH,MAHASAMUND,DEVENDAR SINGH THAKUR (RAJPUT),0,IND,GLASS TUMBLER,MALE,1,33,GENERAL,12th Pass,3775400,0,15488,3,15491,0.945754788,1.266880771,1637951,Literate
TELANGANA,MAHBUBNAGAR,MANNE SRINIVAS REDDY,1,TRS,CAR,MALE,0,60,GENERAL,12th Pass,63353123,4569251,411241,161,411402,27.31567981,41.77658268,1506102,Literate
TELANGANA,MAHBUBNAGAR,ARUNA D.K,0,BJP,LOTUS,FEMALE,2,59,GENERAL,10th Pass,788398644,51670191,333121,452,333573,22.14810152,33.87329185,1506102,Literate
TELANGANA,MAHBUBNAGAR,CHALLA VAMSHI CHAND REDDY,0,INC,HAND,MALE,4,38,GENERAL,12th Pass,15759063,1722846,193513,118,193631,12.85643336,19.6626207,1506102,Literate
TELANGANA,MAHBUBNAGAR,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,10599,1,10600,0.703803594,1.076396752,1506102,Not Available
GUJARAT,MAHESANA,SHARDABEN ANILBHAI PATEL,1,BJP,LOTUS,FEMALE,0,71,GENERAL,12th Pass,440308300,7477793,656686,2839,659525,39.99862936,60.80381533,1648869,Literate
